Time;air_temperature;dewpoint;wind_direction;wind_speed;ambient_pressure;PM10;PM2.5;;
02/19/2017 11:00;-5.42;-13.11;175.38;0.82;873,97;5.36;1.41;;
02/19/2017 12:00;-5.22;-12.25;185.49;1.52;873,12;5.3;1.51;;
02/19/2017 13:00;-4.68;-11.39;189.92;1.39;872,14;4.39;1.69;;
02/19/2017 14:00;-4.1;-10.69;200.58;1.53;871,56;3.94;1.58;;
02/19/2017 15:00;-3.57;-10.7;191.31;1.5;871,13;3.44;1.5;;
02/19/2017 16:00;-3.02;-10.63;199.45;1.2;870,70;3.49;1.45;;
02/19/2017 17:00;-2.87;-10.57;199.6;0.98;870,43;4.25;1.56;;
02/19/2017 18:00;-3.67;-10.87;193.26;0.98;870,61;3.95;1.63;;
02/19/2017 19:00;-4.95;-11.68;169.31;0.5;870,95;5.01;1.7;;
02/19/2017 20:00;-5.03;-11.31;78.26;0.98;870,77;15.17;2.72;;
02/19/2017 21:00;-5.71;-11.63;58.74;1.25;870,43;14.28;2.76;;
02/19/2017 22:00;-6.35;-12.29;61.86;1.39;870,21;12.42;2.29;;
02/19/2017 23:00;-6.64;-12.58;66.51;1.43;869,75;12.61;2.44;;
02/20/2017 00:00;-7.02;-13.03;44.21;1.37;869,34;10.64;2.27;;
02/20/2017 01:00;-7.59;-13.47;47.38;1.41;869,06;7.13;1.79;;
02/20/2017 02:00;-7.78;-13.6;33.26;1.3;868,73;5.33;1.6;;
02/20/2017 03:00;-7.81;-13.73;33.83;1.15;868,29;5.8;1.74;;
02/20/2017 04:00;-7.78;-14;1.89;1.46;868,12;4.47;1.37;;
02/20/2017 05:00;-8.15;-14.46;358.76;1.17;867,96;6.33;1.56;;
02/20/2017 06:00;-8.34;-14.78;35.18;0.98;867,98;9.47;1.76;;
02/20/2017 07:00;-8.47;-15.05;34.74;1.3;868,21;13.35;1.91;;
02/20/2017 08:00;-8.05;-14.65;27.13;1.2;868,23;18.88;2.4;;
02/20/2017 09:00;-7.07;-13.81;122.06;0.37;867,99;18.36;2.66;;
02/20/2017 10:00;-6.4;-12.96;178.91;1.17;867,98;11.64;2.78;;
02/20/2017 11:00;-5.57;-11.71;187.76;1.4;867,64;6.91;2.55;;
02/20/2017 12:00;-4.67;-10.42;186.85;1.28;866,91;6.15;2.59;;
02/20/2017 13:00;-3.29;-9.66;199.93;1.04;865,95;6.29;2.68;;
02/20/2017 14:00;-2.59;-9.09;201.11;1.22;865,33;6.22;2.56;;
02/20/2017 15:00;-2.22;-8.52;206.98;1.33;864,97;4.78;2.33;;
02/20/2017 16:00;-1.85;-8.16;200.2;1.16;864,73;5.05;2.48;;
02/20/2017 17:00;-2.04;-7.92;194.19;1.12;864,78;5.36;2.67;;
02/20/2017 18:00;-2.95;-7.97;217.45;0.85;865,10;5.38;2.78;;
02/20/2017 19:00;-4.08;-8.26;189.32;0.81;865,32;5.63;3.23;;
02/20/2017 20:00;-5.03;-8.45;203.29;0.56;865,23;5.6;2.91;;
02/20/2017 21:00;-5.31;-8.68;199.14;0.38;865,26;7.43;3.76;;
02/20/2017 22:00;-5.78;-9.28;179.28;0.5;865,30;7.56;3.66;;
02/20/2017 23:00;-5.67;-10.26;63.13;1.4;865,18;14.76;4.31;;
02/21/2017 00:00;-6.01;-11.16;48.96;1.1;865,21;14.26;3.91;;
02/21/2017 01:00;-6.55;-11.85;47.26;1.33;864,98;12.82;3.38;;
02/21/2017 02:00;-6.83;-12.74;40.14;1.18;864,83;9.45;2.73;;
02/21/2017 03:00;-7.06;-13.03;26.38;1.24;864,64;6.34;2.01;;
